task_id,item_id,oracle_label,oracle_bucket,source_path,source_family,source_route_stratum,reportable
T_doc_dynamic_workflow_smoke,fm_001,True,failure_mode,E:\learn3\B\new\2\推文.md,local_markdown,local_markdown::broad_read_then_extract,True
T_doc_dynamic_workflow_smoke,fm_002,True,failure_mode,E:\learn3\B\new\2\推文.md,local_markdown,local_markdown::broad_read_then_extract,True
T_doc_dynamic_workflow_smoke,fm_003,True,failure_mode,E:\learn3\B\new\2\推文.md,local_markdown,local_markdown::broad_read_then_extract,True
T_doc_dynamic_workflow_smoke,wp_001,True,workflow_pattern,E:\learn3\B\new\2\推文.md,local_markdown,local_markdown::broad_read_then_extract,True
T_doc_dynamic_workflow_smoke,wp_002,True,workflow_pattern,E:\learn3\B\new\2\推文.md,local_markdown,local_markdown::broad_read_then_extract,True
T_doc_dynamic_workflow_smoke,wp_003,True,workflow_pattern,E:\learn3\B\new\2\推文.md,local_markdown,local_markdown::broad_read_then_extract,True
T_doc_dynamic_workflow_smoke,wp_004,True,workflow_pattern,E:\learn3\B\new\2\推文.md,local_markdown,local_markdown::broad_read_then_extract,True
T_doc_dynamic_workflow_smoke,wp_005,True,workflow_pattern,E:\learn3\B\new\2\推文.md,local_markdown,local_markdown::broad_read_then_extract,True
T_doc_dynamic_workflow_smoke,wp_006,True,workflow_pattern,E:\learn3\B\new\2\推文.md,local_markdown,local_markdown::broad_read_then_extract,True
T_doc_dynamic_workflow_smoke,A2_item_001,True,research_object,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_002,True,research_object,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_003,True,theory,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_004,True,theory,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_005,True,theory,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_006,True,theory,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_007,True,theory,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_008,True,theory,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_009,True,theory,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_010,True,method,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_011,True,method,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_012,True,method,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_013,True,method,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A2_item_014,True,method,E:\learn3\B\new\2\思路.md,local_markdown,local_markdown::focused_theory_read,True
T_doc_dynamic_workflow_smoke,A3-I01,True,false_completion,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
T_doc_dynamic_workflow_smoke,A3-I02,True,false_completion,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
T_doc_dynamic_workflow_smoke,A3-I03,True,coverage_geometry,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
T_doc_dynamic_workflow_smoke,A3-I04,True,coverage_geometry,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
T_doc_dynamic_workflow_smoke,A3-I05,True,method,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
T_doc_dynamic_workflow_smoke,A3-I06,True,method,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
T_doc_dynamic_workflow_smoke,A3-I07,True,method,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
T_doc_dynamic_workflow_smoke,A3-I08,True,safe_stopping,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
T_doc_dynamic_workflow_smoke,A3-I09,True,safe_stopping,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
T_doc_dynamic_workflow_smoke,A3-I10,True,safe_stopping,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
T_doc_dynamic_workflow_smoke,A3-I11,True,false_completion,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
T_doc_dynamic_workflow_smoke,A3-I12,True,method,E:\learn3\B\new\2\ChatGPT-研究准备与虚假收敛.md,local_markdown,local_markdown::keyword_geometry_scan,True
